"AJ Michalka","German (father)*German, English, Irish, Scottish, Welsh (mother)"
"Aksel Hennie","Norwegian"
"Al Pacino","Italian (Sicilian, some Neapolitan)"
"Al Roker","Afro-Bahamian (father)*Afro-Jamaican, possibly African-American (mother)"
"Alan Arkin","Ashkenazi Jewish"
"Alan Cumming","Scottish"
"Alan Rickman","English, Irish, Welsh"
"Alan Ruck","German, Irish, Scottish, English"
"Alan Tudyk","Polish (father)*English, German, Scottish, French, Dutch (mother)"
"Alanis Morissette","French-Canadian, one quarter Irish (father)*Hungarian, likely other (mother)"
"Alanna Ubach","Puerto Rican (father)*Mexican (mother)"
"Albert Brooks","Ashkenazi Jewish"
"Aldis Hodge","Dominican (father)*African-American (mother)"
"Alec Baldwin","English, Irish, Scottish, 1/16th French-Canadian, 1/16 German"
"Alessandra Ambrosio","Brazilian (Polish, Italian, Portuguese, possibly other)"
"Alessandro Nivola","25% Italian/Sardinian*25% Ashkenazi Jewish*50% English/Scottish"
"Alex Borstein","Ashkenazi Jewish"
"Alex Dimitriades","Greek"
"Alex Hassell","English"
"Alex Meneses","Mexican (father)*Ukrainian, possibly some Polish (mother)"
"Alex Meraz","Purepecha Mexican"
"","Irish, Scottish"
"Alex Pettyfer","English"
"Alexa Davalos","Ashkenazi Jewish (father)*Dutch, Spanish, Finnish, possibly other (mother)"
"Alexa PenaVega","Colombian (father)*English, possibly French (mother)"
"Alexander Armstrong","English, some Irish and Ulster-Scots, distant Scottish"
"Alexander Gould","Ashkenazi Jewish"
"Alexander Siddig","Sudanese (father)*English, Scottish/Irish (mother)"
"Alexandra Breckenridge","English, Irish"
"Alexandra Daddario","37.5% Italian*25% Hungarian/Slovak*25% mix of English and German*12.5% Irish"
"Alexandra Shipp","African-American (father)*European (mother)"
"Alexis Arquette","English, French-Canadian, Swiss-German, German, Scottish, Irish, Welsh (father)*Ashkenazi Jewish (mother)"
"Alexis Bledel","Danish, Scottish, English, Irish, Welsh, distant French and German"
"Alexis Denisof","Russian, French, Ashkenazi Jewish (father)*Irish (mother)"
"Alexis Knapp","German, English, Scottish, Irish, distant Dutch (father)*Cuban, Ecuadorian (mother)"
"Alfie Allen","Welsh, English, Irish"
"Alfred Hitchcock","English, Irish"
"Alfred Molina","Spanish (father)*Italian (mother)"
"Ali Larter","German, possibly other"
"Alia Shawkat","50% Iraqi*25% Norwegian*12.5% Irish*12.5% Sicilian/Italian [including likely Arbereshe]"
"Alice Braga","Brazilian"
"Alice Eve","English, Welsh (father)*Irish, possibly English (mother)"
"Alicia Keys","African-American (father)*Italian/Sicilian (maternal grandfather)*English, Irish, Scottish (maternal grandmother)"
"Alicia Silverstone","Ashkenazi Jewish (father)*Scottish (mother; who converted to Judaism)"
"Alicia Sixtos","Mexican (father)*Portuguese [including Azorean] (mother)"
"Alicia Vela-Bailey","Salvadoran (father)*English, Irish, Scottish, German (mother)"
"Alicia Vikander","Swedish, small amount of Finnish, distant Baltic German"
"Alicia Witt","37.5% Irish*25% Italian*18.75% French-Canadian*12.5% Polish*6.25% English/possibly other"
"Alison Brie","Scottish, Dutch, English, German, Norwegian (father)*Ashkenazi Jewish (mother)"
"Alison Doody","Irish"
"Alison Eastwood","English, Scottish, Irish, smaller amounts of German and Dutch, remote Welsh (father)*Swedish, Irish (mother)"
"Alison Lohman","Irish, German, English, Scottish, 1/32 French-Canadian"
"Alison Pill","Estonian, 1/8th Swedish (father)"
"Alistair McGowan","English, some Indian and Irish, likely distant Portuguese"
"Allan Corduner","Ashkenazi Jewish"
"Allen Covert","Ashkenazi Jewish (paternal grandfather), German, Irish, English, Danish"
"Allison Janney","English, smaller amounts of German and Scottish, remote Dutch, likely distant Irish"
"Allison Miller","English, 1/8th German Jewish"
"Ally Sheedy","Irish (father)*Ashkenazi Jewish (mother)"
"Aloe Blacc","Afro-Panamanian"
"Aly Michalka","German (father)*German, English, Irish, Scottish, Welsh (mother)"
"Alysia Reiner","Ashkenazi Jewish"
"Alyson Hannigan","Irish (father)*Ashkenazi Jewish (mother)"
"Alyssa Milano","Italian"
"Amanda Bynes","Lithuanian, Irish, Polish (father)*Ashkenazi Jewish (mother)"
"Amanda Detmer","German, English, some Scottish"
"Amanda Peet","50% Ashkenazi Jewish*37.5% British Isles: mostly English, with some Scottish*12.5% German"
"Amanda Plummer","English, Scottish, Northern Irish, 1/128 Swiss-French, 1/128 French-Canadian"
"Amanda Seyfried","German, with smaller amounts of Swiss-German, Welsh, Scottish, Scots-Irish (Northern Irish), and English"
"Amandla Stenberg","Danish, Greenlandic/Inuit (father)*African-American (mother)"
"Amaury Nolasco","Dominican Republic"
"Amber Heard","Scots-Irish/Northern Irish, English, Irish, German, Scottish, Welsh"
"Amber Marshall","English and/or Scottish, possibly other"
"Amber Midthunder","Norwegian, Sioux Native American, English, Chinese"
"Amber Tamblyn","Scottish, English, some Scots-Irish/Northern Irish"
"Amber Valletta","Italian, Portuguese (father)*English, some Cherokee Native American (mother)"
"America Ferrera","Honduran"
"America Olivo","Italian, Chilean, Mexican, Basque, Spanish (father)*Belgian, Irish (mother)"
"Amir Talai","Iranian"
"Amy Acker","English, German, Irish, Scottish, Welsh, French"
"Amy Adams","English, 5/32 Danish, 1/16th Swiss-German, 1/32 Norwegian, remote Irish, Scottish, and Welsh"
"Amy Hill","Finnish (father)*Japanese (mother)"
"Amy Irving","Ashkenazi Jewish (father)*English, along with Welsh, Northern Irish/Scots-Irish, German, Ashkenazi Jewish, Sephardi Jewish (mother)"
"Amy Landecker","Ashkenazi Jewish (paternal grandfather), English, German, Scottish, Dutch, Irish"
"Amy Poehler","German, Irish, Portuguese Azorean, English (father)*Irish (mother)"
"Amy Ryan","Polish, Irish, English"
"Amy Sedaris","Greek (father)*English, Scottish (mother)"
"Amy Smart","German, English, Irish, some Dutch, Swiss-German, and Welsh"
"Amy Yasbeck","Lebanese (father)*Irish (mother)"
"Ana Gasteyer","English, German, possibly other (father)*Greek (maternal grandfather)*Romanian (maternal grandmother)"
"Ana Ortiz","Puerto Rican, Irish"
"Analeigh Tipton","English (father)*Norwegian, Swedish (maternal grandfather)*German (maternal grandmother)"
"Andie MacDowell","English, French, Scottish, Irish, Welsh"
"Andrea Martin","Armenian"
"Andrea Riseborough","English"
"Andrew Bryniarski","Polish (father)*German, Irish (mother)"
"Andrew Divoff","Russian, Venezuelan"
"Andrew Garfield","Ashkenazi Jewish (father)*English (mother)"
"Andrew Keegan","German, Czech (father)*Colombian (mother)"
"Andrew Lincoln","English, other"
"Andrew Scott","Irish"
"Andrew Wilson","Irish"
"Andy Richter","French (paternal grandmother), Swedish (maternal grandmother), German, English, remote Welsh"
"Andy Samberg","Ashkenazi Jewish"
