title,review_score,poster,imdbID,reviews
10 Things I Hate About You,7.3,https://ia.media-imdb.com/images/M/MV5BMmVhZjhlZDYtMDAwZi00MDcyLTgzOTItOWNiZjY0YmE0MGE0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,tt0147800,[]
12 Years a Slave,8.1,https://ia.media-imdb.com/images/M/MV5BZjFkOGNjZjAtMzZjNS00ZjI2LTkwNjEtOWQ3NzQzOTBlMDA5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,tt2024544,"['Sometimes, I just have to stop my brain in the middle of a film and just admire its exceptional craftsmanship. I found myself doing that time and time again during this film. Perhaps I was more open to admiring the shot compositions and acting choices because, as I cynically told myself before the film, it\'s not like I needed much convincing that slavery was bad. Or perhaps it was because I was shielding myself from the honest brutalities the film convincingly portrayed. Nonetheless, I was reminded of the film ""Children of Men,"" because when I watched that, I was struck by how easily I could imagine a less engaging, more dumbed-down version of the same film. I haven\'t seen enough films about slavery to know this for certain, but I suspect that because many of this film\'s principals are British, telling a story about a free man who was forced into slavery, as opposed to one born into it, they were able to be gain some valuable distance from the subject and craft something that\'s both beautiful and feels true to life. And even though I thought I could not have been made to feel worse than I already did about slavery, the post-scripts on the lack of justice Solomon received for his kidnapping and the unknown causes of his death, helped keep the film from lapsing into a kind of ""triumph of the spirit"" happy ending others might have imposed.', 'This movie is very, very well done. Well, edited and with the proper long shots at the proper moments bringing you to the life of Solomon without remedy.\r\n\r\nAll the cast performs exceptionally well and Ejiofor is to be remembered for this film.\r\n\r\nA must to be seen.', 'Not in a long time have I seen a movie that brings out real emotions from my cold hearted soul. This movie brought them out in floods of tears.\r\n\r\nthe acting was superb, especially from the lead Chiwetel Ejiofor, he acted from his little toe right up to his eyes.\r\n\r\nThe style was also filmed beautifully with some (extremely) painful long shots which pulled you into Solomons nightmare.\r\n\r\nIm not sure if its a film I could watch again, purely for the emotion but I would recommend this film to everyone.', ""**Dreaded at the thought that human kind ACTUALLY had this kind of livelihood at some point of time..**\r\n\r\nCould not gather my thoughts to write this review at the end of the movie.Feeling really bogged down by some heaviness on my chest. Thinking about the times in history when we actually used to do these atrocities on other human beings makes me cringe.To imagine waking up one day and find me in chains just because I'm a colored man and living my life like an unwanted child of god makes me question humanity altogether. Just sitting through a little over than 2 hours and watching this movie made my heart bleed, I can't even begin to think of the people who lived their entire lives as SLAVES... 12 years a slave heart breakingly makes you feel the pain and suffering of almost the entire human kind at one point of time or other. Direction by Steve McQueen is brilliant.Chiwetel Ejiofor plays a helpless slave in Solomon Northup to the hilt and also the small but impactive role played by Brad Pitt as a man with conscience is superb.Lupita Nyong'o's Patsey too was depicted heart warmingly. You can't help but question yourself that how could MAN stoop such low and do these cruel acts and that too over such a prolonged period of time without even a single ounce of doubt in his mind for what he would have to pay for his actions.. All in all a GEM of a movie showing one of the lowest point in human history !""]"
127 Hours,7.6,https://ia.media-imdb.com/images/M/MV5BMTc2NjMzOTE3Ml5BMl5BanBnXkFtZTcwMDE0OTc5Mw@@._V1_SX300.jpg,tt1542344,"['Franco provides a nice performance but the movie is not that hooking and Boyle repeats his visual techniques once and again.', '127 Hours depicts the true story of a guy named Aron Ralston, who went canyoneering in Utah in April 2003. Through a pretty serious event of misfortune, he gets trapped in a canyon by a boulder that pulverises his arm against the canyon wall; literally between a rock and a hard place. And, the desperate measures he resorts to in order to free himself. From a Hollywood perspective, this sounds like it could be turned into a wildly spectacular action film with a bold, heroic protagonist, hysterical relatives and ""Where is my son? PLEASE FIND MY SON!!"" (*intense sobbing*) - type of dialogue. Yes? No. Boy, am I glad this was directed by Danny Boyle... The man we all know for his raw, authentic film style. Instead of aforementioned blockbuster drama, he opted for an incredibly realistic, documentary-like film. 127 Hours starts off with no form of introduction whatsoever. We do not get to \'meet\' Aron or any of his relatives. However, any such introduction quickly proves to be redundant as, over the fast-paced opening credits, we see Aron enthusiastically preparing for and taking off on a hiking trip (ignoring his mother\'s phone call in the process...), and there you have it: this is a \'too cool for school\', overconfident adrenaline junkie, and that\'s all we need to know. This overconfidence gradually proves to be the source of pretty much all his problems, as it is later on revealed that Aron neglected to tell anyone where he was going... Oops.\r\n\r\nLike I said, this film looks and feels very much like a documentary, like National Geographic made a big budget reconstruction of the event. The film makers\' choice to cast James Franco was a very good one. He is simply amazing. Mind you – he is alone in this film for about 95% of the time. This requires an actor with the guts and skill to carry an entire film, and I must admit, Franco probably wouldn\'t have been my first choice. But – to my pleasant surprise – he pulls it off, and is actually very worthy indeed of his Oscar nomination. He displays an impressively wide range of emotions, all equally convincing. Panic, disbelief, despair, delusion, hurt and hallucinations. But even confidence, coolness, exhilaration and rationality; it\'s all there. Aron Ralston, as a character, starts off as a seemingly quite cocky, confident, care-free dude who just wants to enjoy himself and do what he loves most: exploring nature. Without telling his family. But as the film progresses, and Aron realises just what kind of mess he\'s in, you can slowly see a change occurring in him. And the fact that, after a while you greatly start to sympathize with him and even admire him, despite his obvious stupidity before, is all due to James Franco. He has really proved himself to be a very fine character actor with the capability of moving his audience. There is one scene in particular which I found really captivating. During the \'Tuesday\' scene, Aron records himself on his camcorder, acting like he\'s on a talk show, answering his own questions. This scene is top-notch, acting wise, and this is where you really start to feel for him. \r\n\r\nThroughout Aron\'s ordeal, we are shown various flashbacks of his childhood, friends, family and loves. This might seem like a cliché, but honestly, what else are you supposed to think about when you\'re stuck in a canyon for five days? Some people have suggested they think Aron to be a superficial person for not having some kind of spiritual enlightenment while he was trapped, but honestly, I don\'t think it\'s anybody\'s business to judge what Aron thought and felt throughout his ordeal. We all deal with hardship in our own personal way, and talking to God is not necessarily an option for everyone. Some of us simply draw support from family and love and good memories. I know that\'s what I\'d do. \r\n\r\nNow, back to technical talk. The sense of realism of 127 Hours comes greatly from the grainy, unsteady camera work and graphic depiction of everything. Which is a note that comes with a warning: this film is not for the faint of heart. What surprised me is that the scene where Aron \'releases\' himself is visually very graphic. I won\'t go into detail, but you really shouldn\'t watch this if you don\'t have the stomach.\r\n\r\nThere were only a few minor things which bothered me during this film. It has a few moments which, inevitably are a teeny bit boring. But then again, even that seems to fit into the story, so perhaps it makes sense. And I personally think the music wasn\'t always very well chosen, some of it didn\'t really fit somehow. But none of this is really any bother.\r\n\r\n127 Hours may not be as profound as Into the Wild, but it\'s certainly a very well-crafted film which deserves respect on its own merits. Also, the photography of the film is really beautiful and some of the scenery of the canyons is truly breathtaking. I would recommend it for the pretty pictures alone. Anyhow, if you\'re interested in a really good episode of ""I shouldn\'t be alive"", this is the film for you.\r\n_(September 2011)_', 'It was the borring movie I ever watch.\r\n\r\nAnd I will not recomend anyone go see this.']"
15 Minutes,6.1,https://ia.media-imdb.com/images/M/MV5BMTI3MzQ1MzIwNl5BMl5BanBnXkFtZTYwMTAxODc5._V1_SX300.jpg,tt0179626,[]
17 Again,6.4,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2NTI1Mzg3N15BMl5BanBnXkFtZTcwMjYwNjAzMg@@._V1_SX300.jpg,tt0974661,"['It\'s a classic transformation story. Are you now or have you ever been a Norse God, Vampire, or Time Traveling Cyborg?\r\n\r\nAnother in what is a long line of body swap comedies, 17 Again is fun, frothy and full of warmth; just like all the other ones really! There\'s nothing new here, it\'s the same old format as a grown up Mike O\'Donnell (Matthew Perry) rues how his life has grown to miserable proportions but magically gets to be a high-schooler again and grasp that second chance. Back in his 17 year old bod (Zac Efron looking like a young Rob Lowe), Mike oversees the trials and tribulations of his two kids who attend the same school, whilst also forming a ""special"" bond with his future wife Scarlet (Leslie Mann) who is going to divorce him! Cue much high-school pranks, perils and near misses and a few worthy messages in the narrative.\r\n\r\nTailored towards a certain demographic with the casting of Efron, who is very likable and a worthy lead here, the film thankfully doesn\'t lack for good performances elsewhere. Both Mann and Melora Hardin as the hot principal make their roles stand out, while Thomas Lennon as Mike\'s uber rich man child buddy steals the movie. It\'s rich in clichés of the formula and the predictability of outcome robs us of a surprise, but these are not actually irritants, for this is a very enjoyable movie. One where the teens hot for Zac can stare lovingly, and one where the adults can nod in knowing agreement at some plot dynamics. 7/10']"
2001: A Space Odyssey,8.3,https://ia.media-imdb.com/images/M/MV5BMmNlYzRiNDctZWNhMi00MzI4LThkZTctMTUzMmZkMmFmNThmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,tt0062622,"['There are many great predictions hinting to future (it is from 1968 - can you believe it?) innovations throughout the movie. I might not have found all them because I keep falling asleep while watching it but I will keep trying to find them all.', 'I believe that we should call it a modernism show, albeit exhibited in the form of a movie. While it might feel ""boring"", it forces you to rethink what philosophical level that a two-hour film can achieve. The focus on questions about life, intelligence, and time, is worth more attention than the sci-fi part (though the special effect of this movie is already way ahead of its time).']"
2012,5.8,https://ia.media-imdb.com/images/M/MV5BMTY0MjEyODQzMF5BMl5BanBnXkFtZTcwMTczMjQ4Mg@@._V1_SX300.jpg,tt1190080,"['In 2009 is geoloog Adrian Helmsley op bezoek in India bij een collega en krijgt te horen dat door een grote zonnevlam neutrino\'s tegenwoordig microgolven afgeven. Daardoor warmt de kern van de aarde met grote snelheid op wat zal leiden tot rampzalige gevolgen voor de planeet. Adrian haast zich terug naar de Verenigde Staten en waarschuwt Anheuser, stafchef van het Witte Huis, die op zijn beurt de president inlicht. Adrian maakt vanaf dan deel uit van de staf van de president en wordt gevraagd een schema te maken van de mogelijke gebeurtenissen die zullen plaatsvinden in de komende jaren.\r\nIn 2012 blijkt dat de president opdracht heeft gegeven om 8 grote arken te bouwen waarin 800.000 mensen op basis van DNA, expertise en wetenschap zich schuil zouden kunnen houden. Inmiddels weten ook alle leiders van de meeste landen in de wereld van dit plan af en worden er selecties gemaakt. Ondertussen komt Jackson Curtis in Los Angeles zijn kinderen ophalen bij zijn ex-vrouw Kate (die samenwoont met haar vriend Gordon). Hij neemt z\'n kinderen mee naar Yellowstone National Park. Daar worden ze vervolgens meegenomen door het leger en ontmoeten Adrian, die hen de smoes voorlegt dat Yellowstone in moeilijkheden verkeert en daarom geen toeristen toestaat. Ook ontmoeten ze Charlie Frost, die een eigen radiozender heeft en Jackson vertelt dat de wereld binnenkort vergaat. Hij zegt erbij dat er een grote groep mensen is die plaats mag nemen in ""ruimteschepen"" waar hij de locatie van weet. Jackson brengt op verzoek van zijn ex-vrouw zijn kinderen terug naar L.A., alwaar hij hoort dat er een aardbeving heeft plaatsgevonden die een grote scheur in de aarde heeft veroorzaakt. In het Witte Huis wordt duidelijk dat het schema van Adrian sneller verloopt dan ze dachten, en dat door de grote hitte van de aardkern de mantel ook vloeibaarder is geworden, waardoor de aardkorst als het ware ""los"" kan drijven, en dus zal gaan verschuiven. Ook krijgen ze te horen dat er maar 4 arken op tijd klaar zullen zijn. Jackson wordt opgeroepen als chauffeur om de zoons van de Russische miljardair Yuri Karpov op te halen en ze naar het vliegveld te brengen. Hier laat één van de zoons per ongeluk los dat zij de rampen zullen overleven en Jackson niet. Met de informatie die Jackson al van Charlie kreeg, realiseert hij zich dat er inderdaad rampzalige dingen zullen gaan gebeuren, en hij rijdt terug naar L.A. om z\'n familie op te halen. Hij gebruikt een vliegtuig en Gordon, die amateurpiloot is, is uiteindelijk gedwongen het vliegtuig te besturen wanneer hun piloot blijkt te zijn omgekomen. Terwijl ze opstijgen is de familie Curtis getuige van de complete verwoesting van Los Angeles. De stad verdwijnt door de aardkorstverschuiving volledig in de Stille Oceaan.\r\nIn het Witte Huis wordt Adrian verteld dat de aardkorstverschuiving voor honderden aardbevingen heeft gezorgd en al 2 miljoen slachtoffers heeft geëist. President Wilson geeft het bevel dat zijn personeel zo snel mogelijk het vliegtuig in moet om naar China te vertrekken, waar de ruimteschepen liggen. Hij onthult ook aan Adrian dat hij zelf niet mee zal gaan, omdat iemand de rest van de wereld op de hoogte zal moeten brengen van de komende rampen die tot het einde van de wereld zullen leiden. De president vindt dat hijzelf daar de aangewezen persoon voor is. Adrian gaat vervolgens met Anheuser en andere personeelsleden aan boord van een Air Force One. Jackson beseft intussen dat als ze het willen overleven, ze de locatie van de schepen moeten zien te achterhalen. Hij overtuigt Gordon er daarom van om naar Yellowstone te vliegen en Charlie te vinden, om zo de locatie van de ""ruimteschepen"" te achterhalen. Terwijl Gordon het vliegtuig bijvult met brandstof, gaat Jackson op zoek naar Charlie en vindt hem. Hij vertelt dat de kaart in zijn camper ligt. Jackson weet net op tijd weg te komen als de vulkaan onder Yellowstone plotseling uitbarst. De familie ontsnapt met het vliegtuig net op tijd aan de aswolken. Jackson ontdekt op de kaart dat ze naar China moeten en ze landen uiteindelijk in Las Vegas om nieuwe brandstof te tanken. Hier lopen ze Yuri en z\'n gezin tegen het lijf. Hun vliegtuig is gecrasht. Yuri\'s piloot Sascha neemt vervolgens een oude Antonov An-225 over, maar heeft een co-piloot nodig, waardoor de familie Curtis en Gordon mee kunnen. Ze willen landen in Hawaï om meer brandstof te tanken, maar ontdekken dat Hawaï volledig is veranderd in een vulkanisch gebied. Ze zijn gedwongen verder te vliegen. Sascha voorspelt dat ze binnen 15 minuten in de Stille Oceaan zullen neerstorten. Wanneer hij door de wolken heen is, ziet hij dat waar de oceaan zou moeten zijn, een grote ijsmassa te vinden is. Jackson realiseert zich dat de aardkorstverschuivingstheorie werkelijk bestaat. Ze storten neer op een gletsjer waarbij Sascha omkomt. Vervolgens worden ze gevonden door Chinese troepen, die bezig zijn dieren over te brengen naar de schepen. De soldaten nemen Yuri en z\'n kinderen mee wanneer hij zijn tickets laat zien. Daardoor blijven de familie Curtis, Gordon en Yuri\'s vriendin Tamara (die geen ticket had) achter. In China, bij de schepen, wordt duidelijk dat van één van de arken het dak is ingestort door de aardkorstverschuiving en wordt het Laura en Adrian duidelijk dat de passagiers helemaal niet op basis van DNA en wetenschap zijn gekozen, maar dat rijke mensen hun toegang hebben kunnen kopen: zij hebben per ticket 1 miljard euro neergeteld. Adrian wordt vervolgens door zijn Indiase collega opgebeld met de mededeling dat India op het punt staat overspoeld te worden door een gigantische tsunami. Hierdoor beseft Adrian dat de tsunami hen eerder zal bereiken dan gepland, en dat ze op moeten schieten. Wanneer Anheuser dit hoort, maakt hij de beslissing de poorten van de schepen eerder te sluiten, waardoor tienduizenden mensen, onder wie Yuri en zijn zoons, buitengesloten worden.\r\nJackson en z\'n familie worden intussen opgepikt door een Tibetaanse monnik die op weg is naar de schepen om aan boord te gaan. Ze worden door diens broer aan boord gesmokkeld van een ark via de machinekamer en Jackson beseft dat de schepen geen ruimteschepen maar arken zijn. Ze komen vast te zitten wanneer de poorten weer zakken op bevel van Adrian, die de buitengesloten mensen toch wil binnenlaten. Gordon wordt tussen de tandwielen geslingerd en overlijdt, en tegelijk komt ook een drilboor vast te zitten tussen de motoren, waardoor de poort niet meer volledig kan sluiten. Yuri weet z\'n kinderen net op tijd aan boord te krijgen, maar valt vervolgens zelf van het platform en sterft. Nu de poort niet meer volledig sluit, kan de bemanning de motoren niet starten. De tsunami komt al snel hun kant op en water begint de ark binnen te stromen, waarna de passagiers benedendeks door het water waden. Jackson en z\'n gezin worden gesplitst doordat waterbestendige deuren sluiten. Daardoor komen zij in verschillende compartimenten terecht. Adrian ziet via de camera\'s dat Jackson aan boord is weten te komen en haast zich naar de compartimenten om hem en zijn familie te redden. Tamara, die alleen zit, verdrinkt al snel wanneer het water te hoog komt. Jackson hoort van Adrian dat de compartimenten alleen maar open kunnen gaan wanneer de boor uit de motoren wordt gehaald en het hele systeem weer werkt. Met hulp van z\'n zoontje Noah weet Jackson dit voor elkaar te krijgen. De poort sluit weer zodat de motoren kunnen worden gestart en een botsing met de Mount Everest ternauwernood wordt voorkomen. Jackson en z\'n familie maar ook de monniken worden bevrijd, en Jackson en Kate herenigen zich.\r\n27 dagen later (datum: ""27ste dag van de eerste maand, jaar 0001"") krijgen de arken de eerste satellietfoto binnen, waaruit duidelijk wordt dat Afrika het enige continent is dat niet volledig is overstroomd. Het ligt nu zelfs hoger, waardoor de Drakensbergen nu de hoogste bergen ter wereld zijn. Uit metingen wordt duidelijk dat de lucht weer enigszins schoon is en dat de poorten van de arken kunnen worden geopend. Daardoor kan de mensheid voor het eerst sinds de overstroming weer naar buiten.', 'And the public gets what the public wants.\r\n\r\nRoland Emmerich was armed with a $200 million budget, and this is what it produced. It\'s an easy film to dislike from an intellectual level, artistically as well, while the science fiction boffins no doubt had kittens where the science was concerned. It\'s also easily one hour too long in length, and come the second half of the marathon it starts to sag. There\'s only so many times you can watch your lead protagonists escape crumbling carnage - via various modes of transport - before the fun factor begins to wane. However.\r\n\r\nThe carnage effects are grade ""A"" stuff, eye popping and ear splintering, Emmerich is a master at this sort of thing, and with a likable cast comfortably chewing through the safe disaster film making screenplay, it\'s a very decent popcorn blockbuster. It also isn\'t afraid to explore some dark moments, all of which - while not all being a surprise - strike strong emotional chords. It knows its disaster movie roots and is happy to tug on them.\r\n\r\n2012 made a $500 million profit, that\'s a figure not to be ignored. The blockbuster movie loving public lapped it up, they often love this stuff, they just want to see the world exploding and chases and crashes and humans imploding or being heroic. If you have to strip it bare on any sort of cerebral level, then of course it\'s naked. But fully clothed, attired purely in modern film popcorn clobber, then it\'s grand dramatic and exciting fun. And this even as you have to massage your buttocks at the two hour mark. 7/10']"
25th Hour,7.7,https://ia.media-imdb.com/images/M/MV5BNmE0YjdlYTktMTU4Ni00Mjk2LWI3NWMtM2RjNmFiOTk4YjYxL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,tt0307901,[]
30 Minutes or Less,6.1,https://ia.media-imdb.com/images/M/MV5BMTM5NjM0ODY1NF5BMl5BanBnXkFtZTcwMjk5NjI0Ng@@._V1_SX300.jpg,tt1622547,"[""Crude, foul mouthed comedy that is not very funny and a plot that is nonsense.\r\n\r\nThis would had been a better and funnier film if more care had been taken with the script. Otherwise this is a film aimed at stoners and slackers.\r\n\r\nDwayne (Danny McBride) wants to open a massage parlour but needs to get hold of his dad's money who once won the lottery so he hires a hitman to kill him.\r\n\r\nTo pay the hitman Dwayne kidnaps a pizza delivery boy Nick (Jesse Eisenberg) pus a vest with a time and a bomb on him instructs him to rob a bank and steal the $100,000.\r\n\r\nNick gets his best friend Chet (Aziz Ansari) to help him rob a bank but getting the money to Dwayne is not easy who is planning to double cross him.""]"
42,7.5,https://ia.media-imdb.com/images/M/MV5BMTQwMDU4MDI3MV5BMl5BanBnXkFtZTcwMjU1NDgyOQ@@._V1_SX300.jpg,tt0453562,[]
